codes, ebits, ll_aht, d_aht, ratio
281, 95, 1375, 115, 4.724051
286, 95, 1382, 117, 4.711779
286, 95, 1387, 117, 4.654321
286, 95, 1391, 117, 4.652709
286, 95, 1397, 117, 4.656020
286, 95, 1401, 117, 4.654412
286, 95, 1405, 119, 4.657702
286, 95, 1412, 121, 4.645631
283, 95, 1417, 126, 4.595694
275, 95, 1425, 126, 4.552133
275, 95, 1429, 126, 4.550827
275, 95, 1433, 126, 4.549528
275, 95, 1439, 126, 4.552941
275, 95, 1444, 126, 4.553991
275, 95, 1448, 126, 4.552693
275, 95, 1453, 126, 4.553738
275, 95, 1457, 126, 4.552448
278, 95, 1461, 130, 4.567442
278, 95, 1466, 130, 4.547344
278, 95, 1471, 130, 4.548387
278, 95, 1475, 130, 4.547126
278, 95, 1479, 130, 4.545872
278, 95, 1484, 130, 4.546911
280, 95, 1488, 137, 4.566210
280, 95, 1493, 137, 4.546485
280, 95, 1498, 137, 4.547511
280, 95, 1504, 137, 4.550790
280, 95, 1508, 137, 4.549550
280, 95, 1513, 137, 4.550562
280, 95, 1520, 137, 4.556054
280, 95, 1523, 137, 4.552573
280, 95, 1530, 137, 4.558036
280, 95, 1534, 137, 4.556793
287, 95, 1540, 137, 4.575556
287, 95, 1543, 137, 4.572062
285, 95, 1551, 137, 4.575221
278, 95, 1559, 137, 4.567329
278, 95, 1565, 137, 4.570485
278, 95, 1571, 141, 4.582418
281, 95, 1578, 145, 4.563043
281, 95, 1582, 149, 4.502137
281, 95, 1586, 154, 4.492569
281, 95, 1590, 154, 4.472574
281, 95, 1594, 154, 4.471579
281, 95, 1601, 154, 4.476891
281, 95, 1606, 154, 4.477987
281, 95, 1611, 154, 4.479079
281, 95, 1616, 157, 4.486430
281, 95, 1621, 157, 4.450413
281, 95, 1624, 157, 4.447423
281, 95, 1630, 157, 4.450617
281, 95, 1634, 157, 4.449692
283, 95, 1641, 157, 4.459016
283, 95, 1647, 157, 4.462168
281, 95, 1652, 162, 4.469388
281, 95, 1657, 165, 4.449393
281, 95, 1662, 165, 4.423695
281, 95, 1666, 168, 4.428858
292, 98, 1676, 171, 4.456175
289, 92, 1680, 175, 4.275335
289, 92, 1684, 175, 4.258555
289, 92, 1688, 175, 4.258065
289, 92, 1693, 175, 4.259470
289, 92, 1698, 175, 4.260870
289, 92, 1703, 180, 4.271698
289, 92, 1709, 180, 4.242991
289, 92, 1715, 180, 4.246269
291, 98, 1722, 182, 4.270019
291, 98, 1727, 182, 4.224265
289, 92, 1731, 186, 4.216514
289, 92, 1737, 186, 4.204380
289, 92, 1741, 186, 4.204007
289, 92, 1745, 189, 4.209091
289, 92, 1749, 192, 4.198915
284, 92, 1757, 195, 4.187050
284, 92, 1761, 198, 4.046794
284, 92, 1766, 198, 4.034483
284, 92, 1773, 198, 4.039587
284, 92, 1777, 198, 4.039519
284, 92, 1782, 198, 4.041166
284, 92, 1787, 198, 4.042808
284, 92, 1794, 201, 4.052991
284, 92, 1798, 204, 4.023689
284, 92, 1805, 204, 4.015152
284, 92, 1808, 204, 4.013445
284, 92, 1815, 204, 4.018456
284, 92, 1819, 207, 4.023451
284, 92, 1826, 207, 4.015000
284, 92, 1832, 207, 4.018303
284, 92, 1839, 207, 4.023256
284, 92, 1844, 211, 4.031509
284, 92, 1848, 214, 4.016474
310, 92, 1851, 217, 4.049180
310, 92, 1857, 217, 4.039152
310, 92, 1862, 217, 4.040717
310, 92, 1867, 220, 4.047154
284, 92, 1874, 220, 3.990307
302, 92, 1877, 223, 4.022581
310, 92, 1883, 226, 4.030498
310, 92, 1886, 229, 4.001590
310, 92, 1889, 232, 3.992089
310, 92, 1896, 232, 3.984252
310, 92, 1899, 236, 3.988994
310, 92, 1902, 236, 3.974961
310, 92, 1907, 236, 3.976562
310, 92, 1911, 236, 3.976599
310, 92, 1917, 236, 3.979751
310, 92, 1922, 239, 3.986003
310, 92, 1926, 239, 3.967543
310, 92, 1931, 239, 3.969136
310, 92, 1934, 242, 3.972265
304, 92, 1942, 245, 3.961656
304, 92, 1949, 245, 3.924242
304, 92, 1953, 245, 3.924357
304, 92, 1957, 245, 3.924471
304, 92, 1960, 245, 3.923077
304, 92, 1966, 245, 3.926205
304, 92, 1971, 245, 3.927820
304, 92, 1975, 245, 3.927928
304, 92, 1979, 245, 3.928036
304, 92, 1983, 245, 3.928144
304, 92, 1989, 245, 3.931241
307, 92, 1995, 252, 3.949254
307, 92, 2000, 255, 3.931852
307, 92, 2003, 258, 3.917526
312, 92, 2010, 263, 3.925220
312, 92, 2017, 263, 3.878613
312, 92, 2020, 263, 3.877345
305, 92, 2028, 263, 3.873199
305, 92, 2033, 268, 3.882014
305, 92, 2037, 268, 3.865522
305, 92, 2042, 268, 3.867143
305, 92, 2045, 272, 3.871612
308, 89, 2055, 275, 3.873580
308, 89, 2062, 275, 3.813110
308, 89, 2065, 275, 3.811978
308, 89, 2071, 275, 3.815021
308, 89, 2075, 275, 3.815278
308, 89, 2081, 275, 3.818308
308, 89, 2085, 275, 3.818560
308, 89, 2091, 278, 3.825726
308, 89, 2096, 281, 3.805213
308, 89, 2102, 281, 3.792633
308, 89, 2106, 281, 3.792916
308, 89, 2111, 284, 3.798639
308, 89, 2117, 284, 3.786198
308, 89, 2121, 284, 3.786486
308, 89, 2125, 284, 3.786775
308, 89, 2128, 289, 3.792453
308, 89, 2131, 292, 3.785235
308, 89, 2136, 296, 3.782086
308, 89, 2142, 296, 3.769947
308, 89, 2147, 301, 3.778220
313, 89, 2155, 301, 3.775429
313, 89, 2160, 301, 3.777045
313, 89, 2166, 301, 3.779974
313, 89, 2172, 301, 3.782895
313, 89, 2177, 301, 3.784494
313, 89, 2183, 301, 3.787402
313, 89, 2189, 301, 3.790301
315, 89, 2196, 301, 3.797120
313, 89, 2199, 301, 3.793464
315, 89, 2206, 301, 3.800261
315, 89, 2210, 301, 3.800522
315, 89, 2214, 301, 3.800781
304, 89, 2222, 301, 3.791938
304, 89, 2225, 304, 3.794805
304, 89, 2230, 304, 3.786546
304, 89, 2236, 304, 3.789406
304, 89, 2243, 304, 3.793548
306, 89, 2246, 304, 3.795103
306, 89, 2251, 304, 3.796654
306, 89, 2258, 304, 3.800771
306, 89, 2263, 308, 3.807445
306, 89, 2271, 308, 3.798212
307, 89, 2279, 308, 3.804847
310, 89, 2289, 308, 3.816561
310, 89, 2297, 308, 3.821883
310, 89, 2304, 308, 3.825921
310, 89, 2310, 308, 3.828680
308, 89, 2318, 308, 3.831432
308, 89, 2323, 312, 3.837975
308, 89, 2329, 312, 3.826196
308, 89, 2334, 312, 3.827673
308, 89, 2337, 316, 3.831658
308, 89, 2343, 316, 3.824781
308, 89, 2348, 316, 3.826250
306, 89, 2355, 316, 3.827715
306, 89, 2362, 316, 3.831671
306, 89, 2368, 316, 3.834371
306, 89, 2372, 316, 3.834577
306, 89, 2375, 320, 3.838509
303, 89, 2383, 320, 3.830446
303, 89, 2389, 328, 3.843016
305, 89, 2394, 331, 3.826994
305, 89, 2400, 331, 3.810976
305, 89, 2404, 331, 3.811206
305, 89, 2408, 331, 3.811436
305, 89, 2414, 331, 3.814095
304, 89, 2421, 336, 3.822816
304, 89, 2426, 340, 3.787770
304, 89, 2430, 340, 3.774463
304, 89, 2437, 340, 3.778308
304, 89, 2444, 340, 3.782143
304, 89, 2449, 340, 3.783591
304, 89, 2454, 340, 3.785036
304, 89, 2460, 340, 3.787663
304, 89, 2463, 345, 3.792654
304, 89, 2468, 345, 3.785124
304, 89, 2471, 349, 3.788915
304, 89, 2474, 353, 3.783784
304, 89, 2479, 353, 3.776347
304, 89, 2483, 353, 3.776608
304, 89, 2486, 356, 3.779206
304, 89, 2491, 356, 3.771828
308, 89, 2494, 364, 3.784884
308, 89, 2497, 367, 3.778679
308, 89, 2503, 367, 3.772517
308, 89, 2508, 367, 3.773933
308, 89, 2512, 367, 3.774194
308, 89, 2517, 367, 3.775604
308, 89, 2522, 367, 3.777011
308, 89, 2527, 367, 3.778416
308, 89, 2531, 367, 3.778670
313, 89, 2539, 367, 3.789233
313, 89, 2543, 367, 3.789474
313, 89, 2547, 367, 3.789714
313, 89, 2551, 367, 3.789954
313, 89, 2557, 367, 3.792474
313, 89, 2562, 367, 3.793850
313, 89, 2567, 367, 3.795222
313, 89, 2571, 367, 3.795455
313, 89, 2576, 367, 3.796822
313, 89, 2579, 370, 3.799320
313, 89, 2582, 373, 3.793220
313, 89, 2585, 377, 3.788288
309, 89, 2593, 377, 3.780022
309, 89, 2600, 380, 3.786996
309, 89, 2607, 380, 3.765295
309, 89, 2611, 380, 3.765556
309, 89, 2617, 380, 3.768036
307, 89, 2622, 384, 3.771619
307, 89, 2627, 387, 3.759647
307, 89, 2632, 390, 3.751921
304, 89, 2641, 395, 3.747541
304, 89, 2644, 398, 3.709503
304, 89, 2649, 398, 3.702906
304, 89, 2654, 398, 3.704301
304, 89, 2657, 401, 3.706767
304, 89, 2662, 401, 3.700214
304, 89, 2666, 401, 3.700535
304, 89, 2672, 401, 3.702991
306, 89, 2679, 401, 3.708645
306, 89, 2684, 401, 3.710021
306, 89, 2689, 401, 3.711395
306, 89, 2692, 405, 3.714894
313, 89, 2702, 405, 3.721103
313, 89, 2707, 408, 3.725636
313, 89, 2710, 411, 3.716245
314, 89, 2714, 415, 3.713985
314, 89, 2717, 418, 3.704712
314, 89, 2720, 421, 3.699374
314, 89, 2727, 421, 3.695109
314, 89, 2731, 424, 3.698545
314, 89, 2738, 427, 3.693582
314, 89, 2743, 427, 3.672148
314, 89, 2748, 427, 3.673511
314, 89, 2753, 427, 3.674872
314, 89, 2757, 427, 3.675205
314, 89, 2761, 431, 3.679632
314, 89, 2769, 434, 3.675841
314, 89, 2775, 434, 3.641129
314, 89, 2780, 434, 3.642497
314, 89, 2783, 437, 3.644869
314, 89, 2794, 440, 3.647944
314, 89, 2800, 443, 3.571009
320, 89, 2810, 443, 3.565725
320, 89, 2815, 443, 3.567121
323, 89, 2821, 443, 3.572400
323, 89, 2825, 443, 3.572816
323, 89, 2832, 443, 3.576140
323, 89, 2836, 450, 3.583333
323, 89, 2843, 450, 3.576255
323, 89, 2847, 450, 3.576663
323, 89, 2855, 450, 3.580925
326, 89, 2860, 453, 3.588065
326, 89, 2867, 453, 3.577586
326, 89, 2870, 457, 3.580861
326, 89, 2873, 460, 3.576336
326, 89, 2876, 464, 3.572788
329, 89, 2887, 469, 3.580645
329, 89, 2890, 472, 3.555974
331, 89, 2901, 472, 3.558161
331, 89, 2907, 477, 3.565136
331, 89, 2912, 477, 3.549860
331, 89, 2916, 477, 3.550279
331, 89, 2922, 477, 3.552558
331, 89, 2927, 477, 3.553903
331, 89, 2932, 477, 3.555246
331, 89, 2938, 477, 3.557514
333, 89, 2944, 477, 3.561631
333, 89, 2949, 477, 3.562963
333, 89, 2955, 477, 3.565217
333, 89, 2958, 480, 3.567468
333, 89, 2963, 483, 3.564977
333, 89, 2969, 483, 3.554128
333, 89, 2973, 483, 3.554537
333, 89, 2979, 483, 3.556777
333, 89, 2982, 486, 3.559012
333, 89, 2985, 489, 3.554745
336, 89, 2989, 497, 3.558690
336, 89, 2993, 500, 3.552131
336, 89, 2996, 503, 3.544715
336, 89, 3001, 503, 3.539640
336, 89, 3005, 503, 3.540054
336, 89, 3010, 503, 3.541367
338, 89, 3013, 509, 3.548068
338, 89, 3018, 509, 3.543011
338, 89, 3021, 514, 3.547001
338, 89, 3028, 514, 3.543750
338, 89, 3032, 514, 3.544157
338, 89, 3039, 517, 3.549911
338, 89, 3045, 520, 3.535872
338, 89, 3052, 520, 3.523348
338, 89, 3056, 520, 3.523768
338, 89, 3062, 520, 3.525945
338, 89, 3066, 520, 3.526362
338, 89, 3072, 520, 3.528534
338, 89, 3079, 520, 3.531579
338, 89, 3083, 520, 3.531989
338, 89, 3090, 520, 3.535026
338, 89, 3094, 520, 3.535433
338, 89, 3097, 523, 3.537587
338, 89, 3100, 528, 3.535310
338, 89, 3106, 528, 3.531304
338, 89, 3110, 531, 3.534318
338, 89, 3114, 536, 3.529870
338, 89, 3118, 536, 3.521139
338, 89, 3123, 536, 3.522414
338, 89, 3126, 539, 3.524548
338, 89, 3130, 544, 3.523196
338, 89, 3135, 544, 3.515411
338, 89, 3140, 544, 3.516681
338, 89, 3145, 544, 3.517949
338, 89, 3149, 544, 3.518360
337, 89, 3157, 544, 3.521331
331, 89, 3166, 544, 3.520887
331, 89, 3170, 544, 3.521295
331, 89, 3176, 544, 3.523404
331, 89, 3183, 544, 3.526361
331, 89, 3190, 548, 3.532710
331, 89, 3193, 551, 3.505051
331, 89, 3196, 554, 3.501259
337, 89, 3203, 557, 3.505863
337, 89, 3210, 557, 3.488353
337, 89, 3214, 557, 3.488778
337, 89, 3220, 557, 3.490864
337, 89, 3223, 560, 3.492946
337, 89, 3227, 560, 3.487583
337, 89, 3233, 560, 3.489661
337, 89, 3238, 560, 3.490909
337, 89, 3243, 560, 3.492155
337, 89, 3249, 560, 3.494224
337, 89, 3252, 563, 3.496290
337, 89, 3259, 566, 3.495888
337, 89, 3263, 569, 3.481603
337, 89, 3274, 569, 3.479218
337, 89, 3280, 569, 3.481270
337, 89, 3283, 574, 3.484947
337, 89, 3289, 578, 3.484578
337, 89, 3292, 582, 3.473344
332, 89, 3301, 585, 3.470588
332, 89, 3309, 585, 3.438247
332, 89, 3312, 588, 3.440287
332, 89, 3316, 588, 3.435266
336, 89, 3324, 588, 3.442063
336, 89, 3329, 588, 3.443299
336, 89, 3335, 588, 3.445325
336, 89, 3341, 588, 3.447348
336, 89, 3347, 588, 3.449367
336, 89, 3350, 593, 3.452964
336, 89, 3357, 596, 3.452681
336, 89, 3364, 596, 3.431142
336, 89, 3367, 601, 3.434715
336, 89, 3370, 604, 3.431357
336, 89, 3374, 604, 3.426459
336, 89, 3381, 604, 3.429238
333, 89, 3389, 604, 3.430458
333, 89, 3394, 609, 3.435559
333, 89, 3397, 613, 3.427688
333, 89, 3404, 613, 3.425154
333, 89, 3407, 617, 3.427911
333, 89, 3414, 617, 3.425385
333, 89, 3417, 620, 3.427364
333, 89, 3424, 620, 3.424847
333, 89, 3428, 623, 3.427586
333, 89, 3433, 623, 3.420932
333, 89, 3439, 623, 3.422901
333, 89, 3443, 623, 3.423341
333, 89, 3448, 623, 3.424543
333, 89, 3455, 623, 3.427266
333, 89, 3459, 626, 3.429985
333, 89, 3466, 629, 3.427162
333, 89, 3473, 629, 3.406627
333, 89, 3479, 629, 3.408578
333, 89, 3485, 629, 3.410526
333, 89, 3489, 629, 3.410969
333, 89, 3494, 629, 3.412162
333, 89, 3498, 634, 3.416354
333, 89, 3503, 634, 3.409873
333, 89, 3508, 634, 3.411061
333, 89, 3513, 634, 3.412248
333, 89, 3519, 634, 3.414179
336, 89, 3525, 637, 3.420582
336, 89, 3529, 637, 3.405786
336, 89, 3535, 637, 3.407709
336, 89, 3541, 637, 3.409630
336, 89, 3544, 640, 3.411547
336, 89, 3550, 640, 3.408419
336, 89, 3556, 640, 3.410332
336, 89, 3561, 640, 3.411504
336, 89, 3566, 640, 3.412675
336, 89, 3569, 643, 3.414580
336, 89, 3572, 646, 3.411462
336, 89, 3575, 650, 3.409091
336, 89, 3580, 650, 3.405267
336, 89, 3586, 650, 3.407164
336, 89, 3591, 650, 3.408327
336, 89, 3597, 650, 3.410219
336, 89, 3602, 650, 3.411379
336, 89, 3607, 650, 3.412536
336, 89, 3612, 650, 3.413693
336, 89, 3615, 654, 3.416303
336, 89, 3618, 661, 3.416122
336, 89, 3621, 664, 3.413043
336, 89, 3626, 664, 3.409255
336, 89, 3629, 667, 3.411127
336, 89, 3634, 667, 3.407354
336, 89, 3639, 667, 3.408501
336, 89, 3645, 667, 3.410367
336, 89, 3651, 670, 3.414388
336, 89, 3657, 673, 3.406160
336, 89, 3660, 676, 3.393443
336, 89, 3667, 679, 3.393314
336, 89, 3671, 683, 3.372618
336, 89, 3675, 686, 3.368051
336, 89, 3681, 691, 3.366316
336, 89, 3688, 695, 3.362238
334, 89, 3693, 698, 3.340736
334, 89, 3696, 703, 3.334716
334, 89, 3701, 703, 3.331263
334, 89, 3706, 703, 3.332414
334, 89, 3709, 707, 3.334941
334, 89, 3714, 707, 3.331499
334, 89, 3719, 710, 3.334708
334, 89, 3727, 714, 3.331507
334, 89, 3730, 717, 3.292765
