bytes, codes, ebits, ll_aht, d_aht, ratio
37560, 519, 138, 138014, 11281, 3.992332
37561, 519, 138, 138023, 11281, 3.992466
37562, 529, 138, 138030, 11281, 3.992812
37563, 529, 138, 138038, 11281, 3.992919
37564, 529, 138, 138047, 11281, 3.993052
37565, 529, 138, 138055, 11281, 3.993159
37566, 529, 138, 138064, 11281, 3.993292
37567, 529, 138, 138073, 11281, 3.993425
37568, 529, 138, 138081, 11281, 3.993532
37569, 529, 138, 138090, 11281, 3.993665
37570, 529, 138, 138098, 11281, 3.993772
37571, 529, 138, 138105, 11281, 3.993852
37574, 529, 138, 138108, 11282, 3.993639
37577, 529, 138, 138111, 11287, 3.993533
37578, 529, 138, 138120, 11287, 3.993667
37579, 529, 138, 138129, 11287, 3.993800
37580, 529, 138, 138136, 11287, 3.993880
37584, 529, 138, 138142, 11288, 3.993641
37585, 529, 138, 138151, 11288, 3.993774
37586, 529, 138, 138158, 11288, 3.993854
37589, 529, 138, 138161, 11292, 3.993722
37592, 529, 138, 138164, 11293, 3.993509
37593, 529, 138, 138173, 11293, 3.993642
37594, 529, 138, 138182, 11293, 3.993776
37595, 529, 138, 138189, 11293, 3.993856
37601, 529, 138, 138195, 11297, 3.993484
37607, 529, 138, 138201, 11298, 3.993033
37608, 529, 138, 138210, 11298, 3.993166
37609, 529, 138, 138218, 11298, 3.993273
37610, 529, 138, 138225, 11298, 3.993353
37613, 529, 138, 138228, 11303, 3.993247
37614, 529, 138, 138237, 11303, 3.993380
37615, 529, 138, 138245, 11303, 3.993487
37616, 529, 138, 138252, 11303, 3.993567
37617, 529, 138, 138261, 11303, 3.993700
37618, 529, 138, 138269, 11303, 3.993806
37619, 529, 138, 138276, 11303, 3.993886
37620, 529, 138, 138286, 11303, 3.994046
37621, 529, 138, 138294, 11303, 3.994152
37622, 529, 138, 138301, 11303, 3.994232
37623, 529, 138, 138310, 11303, 3.994365
37624, 529, 138, 138318, 11303, 3.994472
37625, 529, 138, 138325, 11303, 3.994551
37628, 529, 138, 138328, 11307, 3.994419
37629, 529, 138, 138337, 11307, 3.994552
37630, 529, 138, 138345, 11307, 3.994659
37631, 529, 138, 138352, 11307, 3.994738
37632, 529, 138, 138361, 11307, 3.994871
37633, 529, 138, 138369, 11307, 3.994978
37634, 529, 138, 138376, 11307, 3.995058
37637, 529, 138, 138379, 11308, 3.994845
37640, 529, 138, 138382, 11309, 3.994633
37646, 529, 138, 138388, 11313, 3.994262
37652, 529, 138, 138394, 11318, 3.993918
37655, 529, 138, 138397, 11319, 3.993706
37658, 529, 138, 138400, 11323, 3.993574
37664, 529, 138, 138406, 11324, 3.993123
37673, 529, 138, 138414, 11328, 3.992488
37679, 529, 138, 138420, 11329, 3.992038
37686, 529, 138, 138428, 11334, 3.991641
37691, 529, 138, 138434, 11338, 3.991377
37700, 528, 138, 138441, 11342, 3.990690
37703, 528, 138, 138444, 11343, 3.990478
37704, 528, 138, 138452, 11343, 3.990585
37705, 528, 138, 138459, 11343, 3.990664
37706, 528, 138, 138468, 11343, 3.990797
37707, 528, 138, 138477, 11343, 3.990930
37708, 528, 138, 138484, 11343, 3.991010
37709, 528, 138, 138493, 11343, 3.991143
37710, 528, 138, 138502, 11343, 3.991276
37711, 528, 138, 138510, 11343, 3.991382
37712, 528, 138, 138519, 11343, 3.991515
37713, 528, 138, 138528, 11343, 3.991647
